rt_name,perplexity,instability_index,gravy,t40_raw,t45_raw,t50_raw,t55_raw,t60_raw,t65_raw,t70_raw,t75_raw,t80_raw,thermophilicity_num,triad_found_bin,D1_D2_dist,D2_D3_dist,triad_best_rmsd,hydrophobic_per_res,salt_per_res,hbonds_per_res,pocket_hydrophobic_per_res,pocket_hbonds_per_res,whole_mean_hydrophobicity,whole_std_hydrophobicity,yxdd_hydrophobic_fraction,yxdd_mean_hydrophobicity,hairpin_pass,yxdd_y_is_strand,yxdd_x_is_turn,yxdd_d1_is_turn,yxdd_d2_is_strand,foldseek_best_TM,foldseek_best_LDDT,foldseek_best_fident,foldseek_TM_HIV1,foldseek_TM_MMLV,foldseek_TM_MMLVPE,foldseek_TM_Retron,foldseek_TM_LTRRetrotransposon,foldseek_TM_Group2Intron,foldseek_TM_Telomerase,rt_family,seq_length,log_likelihood,net_charge,camsol,helix_beta_ratio,yxdd_std_hydrophobicity,n_residues,sasa_per_res,apolar_ratio,mean_rsasa,pocket_mean_rsasa,nterm_avg_sasa,rama_fav,rama_out,hairpin_confidence,yxdd_seq,overall_mean_pot,fingers_mean_pot,motif12_mean_pot,lpqg_sp_3A_mean_pot,yxdd_5A_mean_pot,palm_mean_pot,thumb_mean_pot,connection_mean_pot
Retron86-RT,2.601273537,43.36645768,-0.273040752,0.399,0.4071,0.3869,0.4295,0.3898,0.2684,0.174,0.3532,0.2757,0,1.0,8.6756,3.8272,4.8684,0.524,0.0219,1.599,0.143,0.667,-0.273,3.1661,0.4118,0.2294,1,1.0,1.0,1.0,1.0,0.9169,0.847,0.955,0.6829,0.6894,0.6944,0.9169,0.5603,0.822,0.7376,Retron,319,-0.956001163,29,0.578626,0.81300813,3.2893,319.0,55.84467085,0.557,0.2735,0.116,108.47,91.6,0.7,0.77,YADD,12.1357,10.8567,16.7429,10.8826,-2.4683,9.4468,18.5264,
Rs-RT,7.692510605,33.92465753,-0.045547945,0.2338,0.1815,0.1746,0.1183,0.04047,0.007811,0.00585,0.002047,0.001064,0,1.0,6.8326,3.8915,0.925,0.572,0.0274,1.5,0.522,0.478,-0.0455,3.1581,0.6316,1.2158,1,1.0,1.0,1.0,1.0,0.9421,0.7451,0.24,0.6578,0.6525,0.5647,0.8484,0.634,0.9421,0.7895,Retron,292,-2.040247202,7,0.522281,0.899082569,2.8682,292.0,53.21513699,0.547,0.2727,0.1056,114.92,93.4,0.4,0.628,YADD,2.4606,4.6332,15.5678,12.8413,-8.78,0.4298,-13.1317,
SEN1-RT,3.424794436,40.49712903,-0.377741935,0.1147,0.0953,0.1405,0.1264,0.1031,0.1089,0.03715,0.02477,0.01072,0,1.0,5.8265,3.8134,0.1436,0.59,0.0194,1.687,0.143,0.619,-0.3777,3.2084,0.4706,0.2353,1,1.0,1.0,1.0,1.0,0.9607,0.8275,0.455,0.7203,0.6796,0.7288,0.9607,0.568,0.8146,0.7039,Retron,310,-1.231041431,19,0.802754,0.821138211,2.7945,310.0,55.62416129,0.517,0.2707,0.113,97.97,95.5,0.3,0.693,YADD,12.8487,13.2716,28.85,23.46,6.3867,10.6183,15.8006,
SRV2-RT,8.443972588,41.86709828,-0.100780031,0.2352,0.1967,0.0847,0.3397,0.1525,0.3903,0.6575,0.4829,0.1755,1,1.0,5.9005,3.8045,0.24,0.512,0.014,1.298,0.409,0.409,-0.1008,3.0434,0.6111,1.25,1,1.0,1.0,1.0,1.0,0.9159,0.7332,0.289,0.9159,0.9079,0.8464,0.6448,0.6714,0.6053,0.5634,Retroviral,641,-2.133452892,13,-1.145563,0.758754864,3.1812,641.0,57.10585023,0.593,0.2952,0.12,122.31,87.1,0.7,0.85,YMDD,3.1471,3.5841,18.1132,10.7153,-14.7353,0.7188,4.6059,4.381
Sau1-RT,5.134877682,44.382881,-0.498121086,0.1602,0.08393,0.05083,0.03922,0.01398,0.002847,0.000789,4.569e-05,0.0001141,0,1.0,8.6167,3.8695,4.7495,0.405,0.0334,1.553,0.158,0.632,-0.4981,3.0691,0.4,0.1333,0,1.0,1.0,1.0,1.0,0.8713,0.6619,0.276,0.7073,0.7071,0.7135,0.8713,0.5484,0.7284,0.5584,Retron,479,-1.636056066,27,1.984723,1.284768212,2.9282,479.0,65.34703549,0.561,0.3359,0.1034,131.39,85.3,0.2,,YADD,11.183,12.412,16.4238,13.0275,2.8459,13.1373,13.2508,
TCDM_11122-RT,6.561050415,47.83009868,-0.308059211,0.01811,0.0147,0.03523,0.05276,0.04751,0.1372,0.09411,0.02811,0.02816,0,1.0,15.1654,3.8907,9.4034,0.416,0.0181,1.414,0.381,0.571,-0.3081,2.9865,0.5294,0.6118,1,1.0,1.0,1.0,1.0,0.8391,0.4816,0.095,0.6797,0.6795,0.6047,0.8391,0.4806,0.832,0.7207,Other,608,-1.881150723,13,0.022037,0.856481481,2.6068,608.0,61.99940789,0.57,0.3181,0.0972,131.85,82.2,3.4,0.706,YADD,6.578,7.5062,13.5115,13.1634,-0.6726,12.1554,8.1177,
Tel4c-RT,3.743699074,42.62212121,-0.645989305,0.9585,0.9434,0.8779,0.8504,0.6641,0.4273,0.1145,0.009204,0.009872,2,1.0,11.703,3.7905,6.9634,0.453,0.0463,1.615,0.478,0.478,-0.646,3.1234,0.6842,1.4053,1,1.0,1.0,1.0,1.0,0.8699,0.6777,0.215,0.689,0.684,0.5632,0.8161,0.5836,0.8699,0.7038,Group_II_Intron,561,-1.320074201,44,1.587499,0.959183673,2.7809,561.0,57.76406417,0.527,0.2812,0.0967,138.4,90.6,0.6,0.692,YADD,17.4929,21.0478,30.0652,21.2875,5.4803,7.854,21.1846,
Tf1-RT,6.449528217,44.75089109,-0.497821782,0.4,0.4115,0.3665,0.6951,0.3658,0.5852,0.609,0.4164,0.2555,1,1.0,6.9796,3.8421,1.1748,0.501,0.0356,1.295,0.577,0.385,-0.4978,3.1852,0.6818,1.7682,1,1.0,1.0,1.0,1.0,0.9132,0.7019,0.217,0.9132,0.8958,0.8981,0.7938,0.6078,0.672,0.4754,LTR_Retrotransposon,505,-1.864006996,14,0.758089,0.902173913,2.9824,505.0,58.61033663,0.547,0.2885,0.1327,143.98,85.7,0.4,0.787,YMDD,5.5491,5.2796,4.9783,-4.8156,-7.9134,1.1477,12.0729,9.1015
Thr-RT,17.14906693,40.56428808,-0.426490066,0.582,0.6618,0.5417,0.6727,0.3727,0.6455,0.5098,0.5569,0.1124,1,1.0,36.1293,3.8033,21.4477,0.404,0.0215,1.518,0.304,0.435,-0.4265,3.1589,0.5263,0.9895,1,1.0,1.0,1.0,1.0,0.7625,0.4921,0.072,0.6362,0.6363,0.5438,0.7625,0.4164,0.7468,0.6904,Retron,604,-2.841943741,39,0.345482,0.838983051,2.4965,604.0,69.75296358,0.579,0.3382,0.1005,121.25,77.7,1.6,0.665,YADD,13.8295,12.9998,33.5308,16.6343,1.3379,7.2303,13.2341,
Ty1B-RT,12.4214716,41.10826953,-0.603215926,0.2134,0.1461,0.1849,0.4104,0.3734,0.7197,0.7391,0.5478,0.4804,1,0.0,,,,0.395,0.0322,1.329,0.455,0.318,-0.6032,3.0935,,,1,0.0,0.0,0.0,0.0,0.8077,0.4917,0.083,0.7986,0.8049,0.8077,0.6528,0.4835,0.5322,0.5155,LTR_Retrotransposon,653,-2.519426584,11,0.953931,0.858870968,,653.0,60.8569219,0.539,0.3003,0.1247,137.24,80.4,2.0,0.755,FVDD,5.4551,3.4011,-6.2374,4.5567,,0.8476,-0.5212,3.2233
Ty3-RT,5.600403309,45.91924686,-0.423012552,0.6712,0.663,0.6939,0.8249,0.6733,0.5951,0.6629,0.5392,0.6414,3,1.0,17.4383,3.8237,10.592,0.494,0.0293,1.32,0.696,0.391,-0.423,3.1563,0.6842,1.7579,1,1.0,1.0,1.0,1.0,0.906,0.7049,0.204,0.906,0.9044,0.8787,0.667,0.7201,0.6068,0.4869,LTR_Retrotransposon,478,-1.72283864,14,0.551809,0.816666667,2.7151,478.0,54.81688285,0.532,0.2731,0.1222,133.81,90.6,0.2,0.715,YLDD,5.4197,9.0904,11.9224,-0.3452,-7.8757,-0.4211,10.6795,5.9876
Tyrosinerecomb-RT,11.45605946,41.46163097,-0.231960461,0.4385,0.4721,0.2661,0.528,0.3587,0.6354,0.8821,0.9346,0.9138,1,1.0,6.0337,3.8187,0.3183,0.567,0.0313,1.384,0.478,0.391,-0.232,3.1653,0.6316,1.2737,1,1.0,1.0,1.0,1.0,0.878,0.7204,0.178,0.8685,0.878,0.7418,0.7077,0.6771,0.6747,0.5371,LTR_Retrotransposon,607,-2.438518763,35,-0.967489,0.778688525,2.8308,607.0,56.30705107,0.55,0.275,0.1103,123.81,91.7,0.5,0.76,YLDD,11.6097,10.9921,15.5394,20.7159,-6.6077,7.1675,17.6979,
Vc95-RT,4.937907219,47.31783439,-0.284076433,0.04784,0.03878,0.0637,0.06404,0.04694,0.06118,0.03922,0.01211,0.005826,0,1.0,24.9195,3.8063,16.3642,0.551,0.0255,1.713,0.143,0.524,-0.2841,3.2912,0.4118,0.0353,1,1.0,1.0,1.0,1.0,0.9748,0.8496,0.457,0.6876,0.6888,0.7294,0.9748,0.5663,0.8172,0.6965,Retron,314,-1.59694159,25,0.628979,0.700787402,2.8006,314.0,56.16601911,0.53,0.2718,0.1147,108.52,92.8,0.7,0.713,YADD,11.5471,10.2556,27.1415,16.8799,-1.3597,12.093,12.9522,
Vp96-RT,3.668575764,33.53942308,-0.345512821,0.04386,0.01868,0.02309,0.02173,0.02657,0.03622,0.02435,0.02109,0.004378,0,1.0,5.4754,3.8167,0.7223,0.587,0.016,1.67,0.19,0.714,-0.3455,3.1457,0.3529,-0.0059,1,1.0,1.0,1.0,1.0,0.9785,0.8625,0.579,0.7162,0.6835,0.728,0.9785,0.5619,0.7987,0.6841,Retron,312,-1.299803495,12,0.618327,0.808,2.8329,312.0,55.76150641,0.534,0.2738,0.1039,106.55,93.4,0.7,0.75,YADD,7.6035,12.9096,22.7375,22.8919,3.5373,5.6267,3.1744,
WDSV-RT,9.789031029,44.80131579,-0.121929825,0.5442,0.5673,0.4749,0.7104,0.4396,0.5719,0.8463,0.639,0.5477,1,1.0,6.2681,3.8012,0.3201,0.516,0.0292,1.31,0.583,0.5,-0.1219,3.0699,0.7,1.945,1,1.0,1.0,1.0,1.0,0.9522,0.8283,0.391,0.9522,0.9358,0.921,0.8189,0.6012,0.5976,0.5488,Retroviral,684,-2.281262398,6,-1.012724,0.803030303,2.4927,684.0,53.32163743,0.572,0.2725,0.1322,153.77,89.5,0.7,0.81,YMDD,3.5857,4.6435,12.1437,3.5256,-10.9903,-0.4837,10.6021,7.6843
WMSV-RT,3.248924017,44.4327381,-0.278720238,0.7232,0.8445,0.828,0.925,0.8354,0.9353,0.9037,0.5032,0.2916,3,1.0,6.1635,3.8303,0.1637,0.543,0.0283,1.333,0.75,0.583,-0.2787,3.037,0.6,1.095,1,1.0,1.0,1.0,1.0,0.9792,0.8646,0.725,0.9768,0.9792,0.9608,0.7744,0.5934,0.6557,0.5218,Retroviral,672,-1.178323865,16,0.463192,0.963562753,3.0534,672.0,51.33233631,0.565,0.262,0.1166,135.48,92.7,0.2,0.75,YVDD,6.0396,6.1248,11.3339,5.8416,-5.2486,3.2374,13.6707,8.4802
"retronE,coli-RT",2.740664721,44.61471471,-0.247747748,0.5084,0.5557,0.4808,0.576,0.5067,0.3135,0.1814,0.3492,0.3125,1,1.0,8.6581,3.8484,4.8709,0.514,0.018,1.562,0.15,0.7,-0.2477,3.1319,0.4375,0.525,1,1.0,1.0,1.0,1.0,0.9178,0.8425,0.955,0.6999,0.6897,0.7214,0.9178,0.5653,0.8224,0.7375,Retron,333,-1.008200526,29,0.573197,0.824,3.164,333.0,57.6154955,0.568,0.2898,0.1075,117.46,89.2,0.3,0.77,YADD,,,,,,,,
